Filename,Preemptive Navigation,Reactive Turn,Disoriented Circling,Mean Speed (pixels/sec),Visual Status
2024-12-19_11-22-54_000.mov,24,56,14,953.6923523,Visually Impaired
2025-01-13_11-00-32_000.mov,8,32,3,1255.074608,Visually Impaired
2025-01-14_11-00-54_000.mov,6,11,2,1035.678195,Blind
2025-02-03_12-24-18_000.mov,12,26,8,1121.601769,Visually Impaired
2025-02-05_09-38-40_000.mov,3,15,1,1339.869298,Blind
2025-02-10_11-34-15_000.mov,8,32,3,1398.284991,Visually Impaired
2025-02-11_10-28-40_000.mov,23,36,4,916.7166681,Visually Impaired
2025-02-17_10-27-06_000.mov,48,30,9,637.6082913,Visually Impaired
2025-02-20_11-04-48_000.mov,42,101,38,766.2189656,Visually Impaired
2025-02-24_11-06-44_000.mov,6,29,5,1391.254022,Blind
2025-02-27_11-44-20_000.mov,18,23,6,841.9907569,Visually Impaired
2025-03-11_15-01-05_000.mov,12,23,6,802.7619856,Visually Impaired
2025-03-17_11-25-29_000.mov,5,32,4,1565.965639,Blind
2025-03-20_12-54-58_000.mov,19,29,6,762.9433676,Visually Impaired
2025-03-24_12-10-20_000.mov,7,27,2,1462.571281,Blind
2025-04-07_10-34-04_000.mov,5,11,2,1253.998607,Blind
2025-04-10_09-58-55_000.mov,12,12,3,850.8700993,Visually Impaired
2025-05-29_10-38-20_000.mov,5,18,0,1375.331695,Blind
2025-05-29_11-56-12_000.mov,3,10,0,908.8900975,Blind
2025-06-02_10-12-24_000.mov,8,18,1,1316.492321,Visually Impaired
2025-06-05_11-53-32_000.mov,36,42,10,759.5962556,Visually Impaired
2025-06-10_11-33-20_000.mov,9,38,9,1123.402257,Visually Impaired
IMG_0188.MOV,18,58,10,1234.703685,Visually Impaired
IMG_0230.MOV,54,61,7,992.6951043,Visually Impaired
IMG_0236.MOV,32,50,3,1294.377873,Visually Impaired
IMG_0374.MOV,27,35,4,776.0020008,Visually Impaired
IMG_0484.MOV,40,56,9,896.5464577,Visually Impaired
IMG_0568.MOV,37,29,7,633.6459188,Visually Impaired
IMG_0979.MOV,19,45,6,1202.33853,Visually Impaired
IMG_1007.MOV,25,34,4,1124.119859,Visually Impaired
IMG_1379.MOV,27,48,10,886.3277192,Visually Impaired
IMG_1915.MOV,38,62,2,832.6703828,Visually Impaired
IMG_1944.MOV,23,39,8,980.2098223,Visually Impaired
IMG_2005.MOV,7,32,5,1241.769348,Blind
IMG_2040.MOV,10,16,2,760.1860714,Visually Impaired
IMG_2075.MOV,28,32,8,709.1351505,Visually Impaired
IMG_2089.MOV,13,32,5,930.5193798,Visually Impaired
IMG_2377.MOV,9,39,3,1275.142934,Visually Impaired
IMG_2406.MOV,11,19,3,868.0536701,Visually Impaired
IMG_2431.MOV,46,34,6,700.357327,Visually Impaired
IMG_2748.MOV,40,57,11,792.9034443,Visually Impaired
IMG_3332.MOV,19,22,4,736.5853997,Visually Impaired
IMG_3481.MOV,13,37,3,1004.947942,Visually Impaired
IMG_3660.MOV,2,12,1,1211.029969,Blind
IMG_3847.MOV,23,49,10,1087.635576,Visually Impaired
IMG_3855.MOV,14,38,5,1113.552176,Visually Impaired
IMG_3874.MOV,7,12,0,1124.497604,Blind
IMG_3961.MOV,4,43,6,1637.40234,Blind
IMG_4079.MOV,15,34,5,975.6733475,Visually Impaired
IMG_4331.MOV,19,53,6,1055.293803,Visually Impaired
IMG_4333.MOV,15,31,8,1021.084004,Visually Impaired
IMG_4345.MOV,8,19,4,1011.859672,Visually Impaired
IMG_4578.MOV,8,42,5,1189.780964,Visually Impaired
IMG_4762.MOV,31,33,6,849.3497973,Visually Impaired
IMG_4849.MOV,2,6,0,1251.105205,Blind
IMG_4946.MOV,24,46,12,852.6015433,Visually Impaired
iPhone Aug 31 2016 068.MOV,21,23,6,608.1750256,Visually Impaired
iPhone Aug 31 2016 083.MOV,13,35,4,1492.421571,Visually Impaired
iPhone Aug 31 2016 218.MOV,20,50,3,1202.817657,Visually Impaired
iPhone Aug 31 2016 243.MOV,3,18,2,1181.558777,Blind
iPhone Aug 31 2016 313.MOV,13,35,5,1121.849999,Visually Impaired
iPhone Aug 31 2016 358.MOV,44,48,6,829.2224922,Visually Impaired
iPhone Aug 31 2016 363.MOV,10,30,4,994.2740918,Visually Impaired
iPhone Aug 31 2016 368.MOV,10,20,2,1290.478629,Visually Impaired
iPhone Aug 31 2016 552.MOV,17,38,2,1334.840472,Visually Impaired
iPhone Aug 31 2016 555.MOV,51,64,12,740.9139081,Visually Impaired
Samsung Galaxy 10-2013 113.mp4,63,30,16,282.2708405,Visually Impaired
Samsung Galaxy 10-2013 895.mp4,27,32,6,478.0841879,Visually Impaired
video-2011-10-21-15-28-18.mp4,95,46,22,280.7540594,Visually Impaired
video-2012-08-10-11-23-45.mp4,17,20,7,426.5293217,Visual
video-2012-10-17-14-51-41.mp4,3,8,3,636.9490297,Blind
