,Unnamed: 0,Filename,Unnamed: 1,Unnamed: 2,Blind_x,Visual_x,Visually Impaired_x,Unnamed: 6,Unnamed: 7,Comment_x,Unnamed: 9,Assign value 1 in the category for which you believe dog belongs based on the results of the visual maze testing,Preemptive Navigation_x,Reactive Turn_x,Disoriented Circling_x,Mean Speed (pixels/sec)_x,Visual Status_x,Expert Status,Blind_y,Visual_y,Visually Impaired_y,Comment_y,Preemptive Navigation_y,Reactive Turn_y,Disoriented Circling_y,Mean Speed (pixels/sec)_y,Visual Status_y,Non-Expert Status
285,353,2025-02-17_10-27-06_000.mov,,,1.0,,,,,,,,48.0,30.0,9.0,637.6082913,2.0,1.0,1.0,,,,48,30,9,637.6082913,2,1.0
286,354,2025-02-20_11-04-48_000.mov,,,,,1.0,,,there is no enough data,,,42.0,101.0,38.0,766.2189656,2.0,2.0,1.0,,,,42,101,38,766.2189656,2,1.0
287,355,2025-02-24_11-06-44_000.mov,,,1.0,,,,,,,,6.0,29.0,5.0,1391.254022,1.0,1.0,1.0,,,,6,29,5,1391.254022,1,1.0
288,356,2025-02-27_11-44-20_000.mov,,,,,1.0,,,almost blind but could see big black things,,,18.0,23.0,6.0,841.9907569,2.0,2.0,,,1.0,avoid all objects but probadly smells them,18,23,6,841.9907569,2,2.0
289,357,2025-03-11_15-01-05_000.mov,,,1.0,,,,,,,,12.0,23.0,6.0,802.7619856,2.0,1.0,1.0,,,,12,23,6,802.7619856,2,1.0
290,358,2025-03-17_11-25-29_000.mov,,,,1.0,,,,the dog passed the maze but was uncertain,,,5.0,32.0,4.0,1565.965639,1.0,3.0,,,1.0,,5,32,4,1565.965639,1,2.0
291,359,2025-03-20_12-54-58_000.mov,,,,,,,,,,,19.0,29.0,6.0,762.9433676,2.0,,,,1.0,,19,29,6,762.9433676,2,2.0
292,360,2025-03-24_12-10-20_000.mov,,,,,,,,,,,7.0,27.0,2.0,1462.571281,1.0,,,,1.0,,7,27,2,1462.571281,1,2.0
293,361,2025-04-07_10-34-04_000.mov,,,,1.0,,,,,,,5.0,11.0,2.0,1253.998607,1.0,3.0,,1.0,,walks fast to the owner,5,11,2,1253.998607,1,3.0
294,362,2025-04-10_09-58-55_000.mov,,,,1.0,,,,,,,12.0,12.0,3.0,850.8700993,2.0,3.0,,1.0,,,12,12,3,850.8700993,2,3.0
295,363,2025-05-29_10-38-20_000.mov,,,,1.0,,,,,,,5.0,18.0,0.0,1375.331695,1.0,3.0,,1.0,,,5,18,0,1375.331695,1,3.0
296,364,2025-05-29_11-56-12_000.mov,,,,1.0,,,,,,,3.0,10.0,0.0,908.8900975,1.0,3.0,,1.0,,walks very fast to the owner,3,10,0,908.8900975,1,3.0
297,365,2025-06-02_10-12-24_000.mov,,,1.0,,,,,there is no enough data. Dog appears completely blind but luckily passed the maze,,,8.0,18.0,1.0,1316.492321,2.0,1.0,1.0,,,,8,18,1,1316.492321,2,1.0
298,366,2025-06-05_11-53-32_000.mov,,,1.0,,,,,,,,36.0,42.0,10.0,759.5962556,2.0,1.0,1.0,,,,36,42,10,759.5962556,2,1.0
299,367,2025-06-10_11-33-20_000.mov,,,,,,,,doesn’t move at all,,,9.0,38.0,9.0,1123.402257,2.0,,,,,,9,38,9,1123.402257,2,
300,380,IMG_0188.MOV,,,,,1.0,,,the dog passed the maze but was uncertain,,,18.0,58.0,10.0,1234.703685,2.0,2.0,,,1.0,avoid all objects but probadly smells them,18,58,10,1234.703685,2,2.0
301,381,IMG_0230.MOV,,,1.0,,,,,,,,54.0,61.0,7.0,992.6951043,2.0,1.0,,1.0,,,54,61,7,992.6951043,2,3.0
302,382,IMG_0236.MOV,,,,,1.0,,,there is no enough data,,,32.0,50.0,3.0,1294.377873,2.0,2.0,,,1.0,walks aimlessly,32,50,3,1294.377873,2,2.0
303,383,IMG_0374.MOV,,,1.0,,,,,,,,27.0,35.0,4.0,776.0020008,2.0,1.0,,,1.0,,27,35,4,776.0020008,2,2.0
